File,Fixation Duration,Avgerage Fixation Duration
P100,605255,213.04294262583596
P114,170860,208.62026862026863
P131,240537,199.12003311258277
P157,393077,216.09510720175922
P214,531027,264.1925373134328
P237,513272,204.7355404866374
P267,418484,240.78481012658227
P270,633489,232.13228288750457
P316,124078,264.5586353944563
P323,178955,216.12922705314008
P365,401796,253.33921815889028
P370,305843,247.84683954619126
P402,519945,221.4416524701874
P450,221153,194.6769366197183
P459,379203,287.275
P469,325529,235.0389891696751
P513,260499,205.44085173501577
P536,280028,271.8718446601942
P561,321156,190.7102137767221
P611,305412,260.8129803586678
P642,259606,252.7809152872444
P645,317457,220.45625
P653,235771,247.65861344537817
P708,284344,258.02540834845735
P751,619912,225.83315118397087
P758,291354,267.5426997245179
P812,391232,231.77251184834122
P819,472490,218.84668828161185
P842,375159,204.66939443535188
P900,476772,252.12691697514543
